"","ESUA19.Date","ESUA19.Open","ESUA19.High","ESUA19.Low","ESUA19.Close","ESUA19.Vol"
"06/15/2018","06/15/2018",2812.5,2812.75,2812.5,2812.75,0
"06/18/2018","06/18/2018",2807.5,2807.5,2807.5,2807.5,15074
"06/19/2018","06/19/2018",2793.75,2793.75,2793.75,2793.75,0
"06/20/2018","06/20/2018",2799.25,2799.25,2799.25,2799.25,0
"06/21/2018","06/21/2018",2780.25,2780.25,2780.25,2780.25,0
"06/22/2018","06/22/2018",2787,2787,2787,2787,0
"06/25/2018","06/25/2018",2748.75,2748.75,2748.75,2748.75,0
"06/26/2018","06/26/2018",2751.5,2751.5,2751.5,2751.5,0
"06/27/2018","06/27/2018",2727.5,2727.5,2727.5,2727.5,0
"06/28/2018","06/28/2018",2742.25,2742.25,2742.25,2742.25,0
"06/29/2018","06/29/2018",2745,2745,2745,2745,0
"07/02/2018","07/02/2018",2750.5,2750.5,2750.5,2750.5,0
"07/03/2018","07/03/2018",2737,2737,2737,2737,0
"07/05/2018","07/05/2018",2759.75,2759.75,2759.75,2759.75,0
"07/06/2018","07/06/2018",2785,2785,2785,2785,0
"07/09/2018","07/09/2018",2800,2808,2800,2808,1
"07/10/2018","07/10/2018",2818.5,2818.5,2818.5,2818.5,0
"07/11/2018","07/11/2018",2795.25,2795.25,2795.25,2795.25,0
"07/12/2018","07/12/2018",2820.25,2820.25,2820.25,2820.25,0
"07/13/2018","07/13/2018",2825,2825,2825,2825,0
"07/16/2018","07/16/2018",2828,2828,2818.5,2818.5,1
"07/17/2018","07/17/2018",2833.5,2833.5,2833.5,2833.5,0
"07/18/2018","07/18/2018",2838.5,2838.5,2838.5,2838.5,0
"07/19/2018","07/19/2018",2827.5,2827.5,2827.5,2827.5,0
"07/20/2018","07/20/2018",2822.5,2822.5,2822.5,2822.5,0
"07/23/2018","07/23/2018",2833.5,2833.5,2833.5,2833.5,0
"07/24/2018","07/24/2018",2842.75,2842.75,2842.75,2842.75,0
"07/25/2018","07/25/2018",2862.5,2862.5,2862.5,2862.5,0
"07/26/2018","07/26/2018",2864,2864,2864,2864,0
"07/27/2018","07/27/2018",2841.75,2841.75,2841.75,2841.75,0
"07/30/2018","07/30/2018",2826.75,2826.75,2826.75,2826.75,0
"07/31/2018","07/31/2018",2840.75,2840.75,2840.75,2840.75,0
"08/01/2018","08/01/2018",2834.5,2834.5,2834.5,2834.5,0
"08/02/2018","08/02/2018",2852,2852,2852,2852,1
"08/03/2018","08/03/2018",2859.75,2863.75,2859.75,2863.75,1
"08/06/2018","08/06/2018",2875,2875,2875,2875,2
"08/07/2018","08/07/2018",2885,2885,2885,2885,0
"08/08/2018","08/08/2018",2880.25,2880.25,2880.25,2880.25,0
"08/09/2018","08/09/2018",2878.5,2878.5,2878.5,2878.5,0
"08/10/2018","08/10/2018",2860.5,2860.5,2860.5,2860.5,0
"08/13/2018","08/13/2018",2849.25,2849.25,2849.25,2849.25,0
"08/14/2018","08/14/2018",2864.75,2864.75,2864.75,2864.75,0
"08/15/2018","08/15/2018",2842.25,2842.25,2842.25,2842.25,0
"08/16/2018","08/16/2018",2865.75,2865.75,2865.75,2865.75,0
"08/17/2018","08/17/2018",2873.25,2873.25,2873.25,2873.25,0
"08/20/2018","08/20/2018",2880,2880,2880,2880,0
"08/21/2018","08/21/2018",2883.25,2883.25,2883.25,2883.25,0
"08/22/2018","08/22/2018",2882,2882.5,2882,2882.5,2
"08/23/2018","08/23/2018",2878,2878,2878,2878,0
"08/24/2018","08/24/2018",2897.5,2897.5,2897.5,2897.5,0
"08/27/2018","08/27/2018",2919.75,2919.75,2919.75,2919.75,0
"08/28/2018","08/28/2018",2922.75,2922.75,2922.75,2922.75,1
"08/29/2018","08/29/2018",2921.75,2937.75,2921.75,2937.75,3
"08/30/2018","08/30/2018",2925,2925,2925,2925,1
"08/31/2018","08/31/2018",2925,2925,2925,2925,0
"09/04/2018","09/04/2018",2921.5,2921.5,2921.5,2921.5,0
"09/05/2018","09/05/2018",2911.5,2911.5,2911.5,2911.5,0
"09/06/2018","09/06/2018",2902,2902,2902,2902,6
"09/07/2018","09/07/2018",2900,2900,2895,2898.25,6
"09/10/2018","09/10/2018",2920,2920,2904,2904,2
"09/11/2018","09/11/2018",2914,2914,2914,2914,0
"09/12/2018","09/12/2018",2912.75,2912.75,2912.75,2912.75,0
"09/13/2018","09/13/2018",2931,2931,2931,2931,0
"09/14/2018","09/14/2018",2932.25,2932.25,2932.25,2932.25,0
"09/17/2018","09/17/2018",2917,2917,2917,2917,0
"09/18/2018","09/18/2018",2932.5,2932.5,2932.5,2932.5,0
"09/19/2018","09/19/2018",2933.75,2933.75,2933.75,2933.75,0
"09/20/2018","09/20/2018",2961.25,2961.25,2961.25,2961.25,0
"09/21/2018","09/21/2018",2963,2967.5,2960.25,2960.25,3
"09/24/2018","09/24/2018",2951.5,2951.5,2951.5,2951.5,0
"09/25/2018","09/25/2018",2950,2950,2950,2950,2
"09/26/2018","09/26/2018",2940,2940,2940,2940,0
